"","V1","V2"
"1",1,4
"2",1,83
"3",1,3061
"4",1,3062
"5",1,3071
"6",1,7092
"7",2,4
"8",2,7
"9",2,8
"10",2,10
"11",2,6537
"12",2,7096
"13",3,9
"14",3,151
"15",3,3059
"16",3,3070
"17",3,3071
"18",3,7092
"19",4,3062
"20",4,3264
"21",4,3265
"22",4,6537
"23",4,7092
"24",4,7096
"25",5,13
"26",5,58
"27",5,3062
"28",5,3063
"29",5,3075
"30",5,3087
"31",5,3088
"32",5,3265
"33",6,7
"34",6,13
"35",6,3262
"36",6,3264
"37",6,4449
"38",6,7096
"39",7,8
"40",7,3262
"41",7,6649
"42",7,7096
"43",7,7097
"44",8,10
"45",8,6649
"46",8,6650
"47",8,7091
"48",9,11
"49",9,3070
"50",9,6537
"51",9,7090
"52",9,7092
"53",10,19
"54",10,20
"55",10,6537
"56",10,6698
"57",10,7090
"58",10,7091
"59",11,12
"60",11,21
"61",11,3070
"62",11,3179
"63",11,7090
"64",11,7101
"65",12,151
"66",12,3070
"67",12,3073
"68",12,3179
"69",13,3088
"70",13,3263
"71",13,3264
"72",13,3265
"73",13,4449
"74",14,15
"75",14,17
"76",14,3262
"77",14,4446
"78",14,4449
"79",14,7100
"80",15,3263
"81",15,4446
"82",15,4447
"83",15,4448
"84",15,4449
"85",16,25
"86",16,26
"87",16,3085
"88",16,3087
"89",16,3088
"90",16,3263
"91",16,4448
"92",17,27
"93",17,4446
"94",17,4451
"95",17,4538
"96",17,4590
"97",17,7100
"98",18,4587
"99",18,6648
"100",18,6650
"101",18,7098
"102",18,7099
"103",19,6633
"104",19,6634
"105",19,6698
"106",19,7091
"107",19,7099
"108",20,23
"109",20,6697
"110",20,6698
"111",20,7090
"112",20,7101
"113",21,22
"114",21,35
"115",21,3133
"116",21,3179
"117",21,6637
"118",21,7101
"119",22,3133
"120",22,3178
"121",22,3179
"122",23,6631
"123",23,6632
"124",23,6633
"125",23,6697
"126",23,6698
"127",24,4435
"128",24,4436
"129",24,4437
"130",24,4446
"131",24,4447
"132",24,4451
"133",25,40
"134",25,41
"135",25,3085
"136",25,4435
"137",25,4445
"138",25,4448
"139",26,3085
"140",26,3086
"141",26,3087
"142",26,3128
"143",27,47
"144",27,49
"145",27,4517
"146",27,4538
"147",27,4590
"148",28,4517
"149",28,4587
"150",28,4588
"151",28,4589
"152",28,4590
"153",28,6651
"154",29,30
"155",29,33
"156",29,50
"157",29,4561
"158",29,4571
"159",29,6648
"160",29,7098
"161",30,43
"162",30,50
"163",30,51
"164",30,6651
"165",30,7098
"166",31,35
"167",31,243
"168",31,3133
"169",31,3134
"170",31,3240
"171",31,7093
"172",32,33
"173",32,54
"174",32,4562
"175",32,6631
"176",32,6633
"177",32,6634
"178",32,6642
"179",33,4561
"180",33,4562
"181",33,6634
"182",33,6648
"183",34,35
"184",34,52
"185",34,6638
"186",34,6640
"187",34,7093
"188",34,7094
"189",34,7095
"190",35,3133
"191",35,6637
"192",35,6638
"193",35,7093
"194",36,56
"195",36,57
"196",36,6631
"197",36,6632
"198",36,6635
"199",36,6642
"200",36,6643
"201",37,38
"202",37,58
"203",37,3068
"204",37,3069
"205",37,3075
"206",37,3086
"207",38,59
"208",38,3068
"209",38,3084
"210",38,3086
"211",38,3126
"212",38,3127
"213",39,45
"214",39,46
"215",39,4401
"216",39,4402
"217",39,4436
"218",39,4437
"219",40,63
"220",40,3129
"221",40,4401
"222",40,4435
"223",40,4445
"224",41,3085
"225",41,3124
"226",41,3125
"227",41,4445
"228",41,6675
"229",42,3090
"230",42,3091
"231",42,3125
"232",42,3126
"233",42,3127
"234",42,3128
"235",43,44
"236",43,51
"237",43,4450
"238",43,4589
"239",43,6651
"240",44,49
"241",44,4450
"242",44,4517
"243",44,4518
"244",44,4557
"245",44,4589
"246",45,46
"247",45,62
"248",45,64
"249",45,4402
"250",45,4403
"251",45,4404
"252",46,48
"253",46,4403
"254",46,4405
"255",46,4437
"256",46,4452
"257",47,48
"258",47,49
"259",47,4452
"260",47,4515
"261",47,4536
"262",47,4538
"263",48,71
"264",48,4405
"265",48,4452
"266",48,4515
"267",49,4517
"268",49,4518
"269",49,4536
"270",50,51
"271",50,4524
"272",50,4559
"273",50,4571
"274",51,70
"275",51,4450
"276",51,4524
"277",51,4528
"278",52,53
"279",52,75
"280",52,76
"281",52,4621
"282",52,6700
"283",52,7094
"284",52,7095
"285",53,243
"286",53,3240
"287",53,3261
"288",53,4621
"289",53,7095
"290",54,57
"291",54,3222
"292",54,4560
"293",54,4562
"294",54,4572
"295",54,6642
"296",55,6635
"297",55,6636
"298",55,6638
"299",55,6639
"300",55,6640
"301",56,79
"302",56,6635
"303",56,6639
"304",56,6643
"305",56,6699
"306",57,78
"307",57,81
"308",57,3222
"309",57,4598
"310",57,6642
"311",57,6643
"312",58,82
"313",58,3057
"314",58,3063
"315",58,3067
"316",58,3069
"317",58,3075
"318",59,84
"319",59,3083
"320",59,3084
"321",59,3123
"322",59,3126
"323",60,61
"324",60,3065
"325",60,3067
"326",60,3068
"327",60,3069
"328",60,3078
"329",61,86
"330",61,3068
"331",61,3078
"332",61,3081
"333",61,3083
"334",61,3084
"335",62,64
"336",62,68
"337",62,89
"338",62,91
"339",62,4404
"340",62,6659
"341",62,6660
"342",63,65
"343",63,92
"344",63,3129
"345",63,3130
"346",63,4445
"347",63,6675
"348",63,6676
"349",64,3129
"350",64,3130
"351",64,4402
"352",64,6659
"353",65,66
"354",65,3124
"355",65,6672
"356",65,6673
"357",65,6675
"358",65,6676
"359",66,3089
"360",66,3091
"361",66,3124
"362",66,6673
"363",67,3089
"364",67,3090
"365",67,3122
"366",67,3123
"367",67,3131
"368",67,3132
"369",68,69
"370",68,4404
"371",68,4408
"372",68,6660
"373",69,99
"374",69,4403
"375",69,4404
"376",69,4406
"377",69,4408
"378",69,4410
"379",70,74
"380",70,4450
"381",70,4509
"382",70,4528
"383",70,4557
"384",71,72
"385",71,101
"386",71,102
"387",71,4405
"388",71,4406
"389",71,4515
"390",71,4791
"391",72,102
"392",72,4515
"393",72,4536
"394",72,5156
"395",73,3215
"396",73,3216
"397",73,4558
"398",73,4559
"399",73,4570
"400",73,4571
"401",74,4509
"402",74,4521
"403",74,4522
"404",74,4527
"405",74,4528
"406",75,107
"407",75,3052
"408",75,3053
"409",75,6700
"410",75,7094
"411",76,3212
"412",76,4621
