"","V1","V2","V3"
"1",5152,11653,24
"2",16,114,5152
"3",4839,161,9224
"4",6171,6181,6170
"5",6173,6193,6194
"6",6176,6388,6171
"7",6126,325,6162
"8",6179,6180,6182
"9",6183,6180,21
"10",6214,6204,27
"11",10442,5151,11912
"12",6188,6363,6191
"13",6189,6190,6216
"14",17,6161,18
"15",6123,6193,6198
"16",5151,2,10543
"17",11077,12911,14
"18",5408,14,325
"19",6372,6200,103
"20",9667,38,41
"21",6202,9,30
"22",2523,6483,9693
"23",6207,6186,6278
"24",1,5150,40
"25",6213,6393,6299
"26",9808,6214,6333
"27",6215,10,6187
"28",6217,6191,6216
"29",6276,6298,6218
"30",6222,21,6224
"31",6223,6224,6571
"32",6227,11855,61
"33",6230,5328,13133
"34",6232,6231,7246
"35",9018,6423,6231
"36",6237,7214,3152
"37",6240,7217,13128
"38",20,6160,9314
"39",13128,7152,7179
"40",5204,24,10569
"41",314,20,6159
"42",63,5149,11653
"43",6419,7165,6253
"44",6249,6254,6255
"45",6256,6331,6328
"46",6258,134,6318
"47",6320,6397,6264
"48",6263,117,1474
"49",6262,8746,6395
"50",53,6158,54
"51",6268,52,6317
"52",51,6307,6309
"53",6126,328,50
"54",319,50,178
"55",5318,6306,64
"56",73,6277,6276
"57",6273,6274,6275
"58",6274,6276,6219
"59",6277,6265,2704
"60",121,75,6119
"61",6282,32,1699
"62",11871,6302,6283
"63",791,5145,42
"64",78,55,6273
"65",6290,11310,6289
"66",6311,6291,11876
"67",6481,6469,6458
"68",6293,6295,6529
"69",5349,10554,3593
"70",6299,6278,6298
"71",6303,6189,6302
"72",6265,6306,6316
"73",6306,56,6273
"74",11462,6307,6308
"75",5242,6156,60
"76",6312,6266,6311
"77",6266,5318,6313
"78",6288,6313,64
"79",6315,6269,6314
"80",6260,6316,6317
"81",6321,1438,1437
"82",8682,6325,6438
"83",6440,8680,6326
"84",6431,6428,6327
"85",7610,7616,785
"86",88,111,6334
"87",6335,6336,6339
"88",6346,6337,86
"89",9805,6338,6339
"90",4894,6342,10050
"91",6344,3933,10057
"92",7201,10056,9593
"93",6162,6155,6154
"94",13476,5056,13810
"95",6353,6354,1925
"96",10054,6356,1988
"97",8926,6184,9286
"98",5029,2497,4664
"99",6200,6374,6365
"100",6368,9809,9807
"101",6175,6177,6369
"102",6177,9407,6372
"103",9804,19,6377
"104",6375,6204,6367
"105",6377,9693,6378
"106",6380,6381,6198
"107",6384,142,6454
"108",6387,6294,363
"109",163,5046,576
"110",6158,328,121
"111",86,6394,6395
"112",6394,6396,6210
"113",6263,6262,6397
"114",143,5308,2
"115",5045,14063,172
"116",13927,1621,4163
"117",9594,48,6415
"118",6411,119,6315
"119",6415,6408,118
"120",6418,6409,134
"121",110,60,6293
"122",6422,6309,6421
"123",6425,13407,4515
"124",6430,6328,6327
"125",10855,6431,7241
"126",135,6114,6153
"127",674,1442,6433
"128",2208,6433,2210
"129",6156,6153,368
"130",6437,9391,6259
"131",5026,778,8796
"132",6442,2716,5100
"133",6093,5159,143
"134",6446,120,46
"135",9424,126,7341
"136",5147,307,275
"137",6454,6452,139
"138",6452,6542,2193
"139",137,10230,6382
"140",6457,6476,6475
"141",6459,6382,6474
"142",6462,153,107
"143",5154,133,114
"144",11484,2492,6467
"145",6555,6467,6468
"146",6196,6469,6381
"147",6470,6471,6461
"148",6471,6376,6489
"149",4994,1621,6587
"150",6474,6455,6475
"151",6482,6459,6295
"152",6483,6484,9815
"153",13897,6464,142
"154",6378,6488,6489
"155",6492,9493,9491
"156",6151,2830,12995
"157",1831,2150,6496
"158",9557,6496,6497
"159",9136,5246,12911
"160",6500,12889,9499
"161",6502,6523,3
"162",6524,9680,6503
"163",360,5827,109
"164",165,6149,170
"165",254,235,164
"166",9674,4683,5392
"167",6514,9735,9714
"168",6516,174,6515
"169",174,9538,6517
"170",12801,164,13230
"171",6519,6852,4682
"172",115,4380,5046
"173",5266,6522,11678
"174",169,168,175
"175",6524,174,6523
"176",6507,6525,9680
"177",356,298,6132
"178",54,6529,6568
"179",9951,9947,6533
"180",9665,13093,6533
"181",6534,1975,9790
"182",6535,9945,6550
"183",9796,6536,6537
"184",9359,6536,9931
"185",6113,6147,298
"186",6544,9931,6453
"187",6547,2033,9720
"188",6548,1945,6554
"189",5145,2392,349
"190",203,10576,5145
"191",6552,9930,9935
"192",6554,6549,6553
"193",194,6145,267
"194",1843,9535,193
"195",1007,5044,4654
"196",5044,12459,7447
"197",1452,5155,13392
"198",8805,4737,5025
"199",6145,1707,264
"200",6574,9205,419
"201",6575,13599,6576
"202",7153,211,6785
"203",438,190,5161
"204",3407,5288,12060
"205",9211,6143,207
"206",6589,6405,208
"207",216,205,9209
"208",206,6591,6592
"209",12471,213,2414
"210",6597,7158,13001
"211",6598,6201,202
"212",6600,6659,6650
"213",209,5143,10614
"214",4482,4470,10806
"215",8298,6040,6612
"216",9422,207,9534
"217",218,1431,5142
"218",238,10573,217
"219",1708,9120,1709
"220",231,6332,6621
"221",2441,5924,6139
"222",9411,6139,6141
"223",1936,4721,6614
"224",6648,6628,1656
"225",232,6629,6630
"226",2239,10860,4969
"227",4077,6414,6636
"228",235,6138,237
"229",6638,6622,6637
"230",6641,6324,6332
"231",220,6646,6642
"232",4714,9105,225
"233",1654,6690,6644
"234",5042,5043,10557
"235",165,5254,228
"236",238,4255,255
"237",6149,228,9219
"238",1488,218,236
"239",5043,9006,10554
"240",6662,6629,242
"241",247,6137,250
"242",240,11058,6665
"243",6669,8975,12025
"244",1581,10763,8978
"245",6674,1582,6011
"246",8907,6675,9000
"247",257,12722,241
"248",6682,6683,6709
"249",6736,6684,6687
"250",254,241,5254
"251",6687,3021,4504
"252",360,5042,441
"253",6663,6690,13023
"254",6136,250,165
"255",1490,236,9365
"256",13273,3391,3393
"257",5255,247,6136
"258",279,4528,4527
"259",264,6135,267
"260",6711,1566,6710
"261",10380,262,9102
"262",261,6715,1544
"263",6717,4517,4516
"264",199,6130,259
"265",9103,9098,6720
"266",12342,426,3658
"267",193,259,278
"268",6725,6726,6677
"269",6738,6741,282
"270",6729,6712,6728
"271",6134,9533,6137
"272",6723,6732,6733
"273",284,282,1611
"274",6735,6677,6773
"275",1940,136,5140
"276",1706,1844,6134
"277",6745,4537,6740
"278",267,6133,12767
"279",6708,6743,258
"280",6743,299,6744
"281",6133,6113,12763
"282",273,269,6727
"283",7540,6132,6122
"284",6744,273,4528
"285",9035,10407,1612
"286",6752,9035,9037
"287",6754,6755,6753
"288",6132,6112,344
"289",4525,6757,3325
"290",4530,10106,6758
"291",1613,6759,6760
"292",3097,6761,4874
"293",6763,6764,4861
"294",6147,6573,6131
"295",4860,4861,4893
"296",4861,3270,6767
"297",4903,4859,6769
"298",185,6131,177
"299",6773,280,6772
"300",6130,9206,6569
"301",9199,9207,6130
"302",305,6129,308
"303",6922,5357,6779
"304",6774,6780,6781
"305",309,1701,302
"306",6783,6781,6777
"307",136,2392,3685
"308",9175,302,9200
"309",9194,305,9174
"310",10682,6792,6793
"311",4492,6794,10635
"312",6797,10654,6804
"313",4882,6815,4883
"314",41,6127,6479
"315",4476,10873,1393
"316",6803,4882,10618
"317",6803,6795,6804
"318",4478,10842,6809
"319",6126,54,6127
"320",379,7486,6812
"321",4871,6814,2908
"322",10552,5139,10567
"323",5139,10568,2386
"324",6817,1896,7415
"325",18,7,6159
"326",5814,5025,13787
"327",12892,9575,8710
"328",110,53,6154
"329",571,7265,6827
"330",6830,6837,331
"331",6831,330,7263
"332",6898,6832,6904
"333",6833,6897,11968
"334",338,6122,6193
"335",6834,5366,10181
"336",9588,1867,7264
"337",6838,6829,10361
"338",6123,366,334
"339",6844,6845,1453
"340",344,6194,6122
"341",6848,6945,6847
"342",7502,387,6861
"343",10161,4164,6850
"344",288,1817,340
"345",6858,10088,6854
"346",1090,6856,6945
"347",6861,1093,1092
"348",6862,390,6939
"349",5149,189,5147
"350",6865,6850,6858
"351",8140,6882,6856
"352",6855,6867,6857
"353",5137,5134,5136
"354",1905,6872,6869
"355",6872,6867,395
"356",6121,8900,177
"357",9338,6516,7568
"358",7392,6878,9603
"359",8740,1903,6879
"360",163,7912,252
"361",6886,8714,6897
"362",6892,5367,10250
"363",368,108,6119
"364",6896,6905,6834
"365",6884,6897,7517
"366",338,6153,7540
"367",5136,3754,13270
"368",6117,363,129
"369",6902,744,6904
"370",450,5135,5134
"371",12535,6911,6912
"372",6915,6917,6913
"373",7481,401,6914
"374",6913,6954,745
"375",5159,634,591
"376",721,6917,402
"377",7521,7520,7518
"378",11079,10434,7193
"379",6809,320,6923
"380",5534,6924,6925
"381",8199,6926,4761
"382",853,7718,6927
"383",1131,4461,6928
"384",756,8726,6933
"385",6115,6114,5398
"386",6845,6936,6945
"387",342,6849,6937
"388",6938,1469,7715
"389",6937,6860,738
"390",7501,348,6940
"391",394,6873,6846
"392",6940,394,6942
"393",6941,6942,8142
"394",392,6862,391
"395",6944,355,6943
"396",6849,6941,6946
"397",6898,6948,6949
"398",7479,724,6950
"399",8717,8736,12745
"400",8736,6954,6914
"401",6959,373,6958
"402",6960,376,6962
"403",6961,6950,6912
"404",6962,6911,4847
"405",10577,5131,5137
"406",6964,6965,6977
"407",6966,13318,13225
"408",3753,4837,6967
"409",7450,705,7455
"410",6968,12385,6965
"411",422,6982,6969
"412",6976,9444,6970
"413",11676,3914,423
"414",6973,6974,422
"415",6983,6975,418
"416",6977,12427,6976
"417",424,6983,9556
"418",415,4402,6978
"419",425,200,6180
"420",11969,6981,421
"421",4559,420,9524
"422",6975,414,411
"423",413,6972,6983
"424",6984,417,11761
"425",6112,6572,419
"426",266,4993,3819
"427",6988,8277,8124
"428",6990,8124,6989
"429",5607,8107,7640
"430",437,5120,443
"431",7619,7000,7001
"432",1077,8115,7002
"433",7647,8130,7003
"434",436,7003,1306
"435",7004,8497,8475
"436",7005,7002,434
"437",449,2625,430
"438",5132,12989,203
"439",4637,7010,6540
"440",7013,5261,5251
"441",5827,252,1007
"442",6487,4202,7015
"443",10983,430,10980
"444",7019,5606,7039
"445",6363,6364,5957
"446",2257,10344,7025
"447",2261,7022,8287
"448",7022,8272,8275
"449",10986,437,6109
"450",12971,370,478
"451",4781,8283,5729
"452",7028,8270,7027
"453",10916,5231,12675
"454",8288,7023,7031
"455",4806,7032,5729
"456",8290,963,7035
"457",7037,7016,7036
"458",5303,7017,7039
"459",5960,1973,2241
"460",10392,7040,2288
"461",7041,7042,7043
"462",10423,1214,464
"463",7045,10433,7044
"464",462,1146,8225
"465",10360,7046,7047
"466",6107,2158,6111
"467",10347,7051,470
"468",7053,7054,8251
"469",7054,7055,10352
"470",7055,467,7056
"471",2263,10350,10360
"472",8251,7058,475
"473",8376,10432,1239
"474",8250,8251,1242
"475",472,1239,8378
"476",7059,2265,7924
"477",1205,7919,13698
"478",3686,450,5131
"479",7063,625,7066
"480",10180,10031,10182
"481",2618,10173,2173
"482",7070,7293,7069
"483",7293,7991,7295
"484",7072,7295,7071
"485",10191,10467,6106
"486",10184,2336,10467
"487",8212,7080,4762
"488",916,8202,7086
"489",2618,6104,10463
"490",10508,6103,2169
"491",1141,7846,7844
"492",919,7864,7089
"493",7864,7862,7090
"494",7091,502,7876
"495",6103,11447,10180
"496",7098,7099,7097
"497",521,6102,10878
"498",8043,7101,1035
"499",1221,3027,3683
"500",8162,501,504
"501",500,7104,741
"502",504,7106,494
"503",7110,10812,8159
"504",7111,500,502
"505",7114,922,7868
"506",7117,8156,934
"507",7119,922,7112
"508",7866,7121,930
"509",8599,7122,514
"510",512,8516,511
"511",510,7124,1378
"512",510,8544,7125
"513",7127,8601,7126
"514",8600,509,8596
"515",7126,8598,7128
"516",842,841,835
"517",7695,7693,7127
"518",7130,7994,7997
"519",9654,11679,7131
"520",5831,13833,5024
"521",10452,10525,497
"522",8159,7140,727
"523",10450,10847,2542
"524",8165,1101,7143
"525",4114,5023,4096
"526",5022,3654,4940
"527",7148,7149,728
"528",4160,8430,1116
"529",7217,7182,7152
"530",7182,6598,7153
"531",7219,7154,7155
"532",534,7156,5354
"533",7158,10831,7157
"534",541,532,7159
"535",7160,7161,7246
"536",749,12812,5020
"537",7166,7210,6253
"538",13265,7170,581
"539",594,7237,7171
"540",7236,7172,7173
"541",534,7238,6504
"542",7175,7171,544
"543",9006,13941,3593
"544",542,7178,7179
"545",7180,7171,7236
"546",564,5040,576
"547",701,5020,5858
"548",7184,7185,9588
"549",6915,7186,7187
"550",4961,7188,10499
"551",7190,10425,7189
"552",6606,10904,10541
"553",6813,6922,6787
"554",7195,8707,3925
"555",3310,12380,12381
"556",558,5019,567
"557",7202,9593,9871
"558",8526,12930,556
"559",7206,6241,7160
