"","V1","V2","V3"
"1",882,881,875
"2",881,714,888
"3",869,889,870
"4",856,869,870
"5",861,890,870
"6",837,836,891
"7",2005,879,938
"8",878,936,893
"9",895,894,869
"10",896,1102,835
"11",880,2005,938
"12",898,1111,804
"13",859,921,860
"14",849,1193,900
"15",883,901,902
"16",859,860,1035
"17",1924,887,904
"18",1846,150,1793
"19",905,859,873
"20",839,906,907
"21",1052,926,925
"22",819,910,907
"23",811,819,909
"24",790,918,910
"25",788,786,911
"26",925,926,871
"27",913,785,1066
"28",1052,861,926
"29",906,858,905
"30",815,917,785
"31",844,906,862
"32",861,920,890
"33",912,843,921
"34",858,922,859
"35",816,912,841
"36",818,924,843
"37",1549,925,874
"38",842,920,843
"39",870,871,926
"40",1135,927,807
"41",1032,862,875
"42",2006,882,875
"43",886,934,930
"44",754,933,932
"45",901,934,886
"46",868,935,893
"47",879,936,878
"48",894,892,868
"49",934,820,930
"50",878,883,902
"51",878,876,937
"52",938,878,902
"53",889,869,936
"54",882,874,940
"55",899,867,935
"56",939,903,867
"57",939,852,900
"58",756,1982,722
"59",857,623,941
"60",940,880,885
"61",944,623,943
"62",1837,282,233
"63",946,650,692
"64",548,992,948
"65",950,949,499
"66",952,951,549
"67",505,450,953
"68",335,1004,954
"69",668,872,1284
"70",498,956,496
"71",282,1866,233
"72",1000,499,958
"73",441,960,959
"74",961,957,443
"75",445,962,963
"76",441,962,960
"77",881,1994,714
"78",966,602,552
"79",283,1865,1864
"80",652,967,604
"81",382,1860,968
"82",493,970,969
"83",871,879,2005
"84",232,1873,235
"85",1538,1879,184
"86",1864,232,235
"87",222,1538,1780
"88",286,975,335
"89",336,977,976
"90",436,978,1861
"91",979,436,392
"92",980,971,436
"93",974,496,955
"94",340,981,391
"95",982,438,494
"96",1549,1035,925
"97",874,2005,880
"98",437,982,983
"99",985,438,439
"100",985,986,438
"101",493,969,971
"102",1780,184,223
"103",498,989,958
"104",184,1879,1878
"105",1002,283,286
